gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,1,0,-1.2827281667186554,0,1,-1.1641353596911748,-0.9972842175267818,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0,0.06238689314432279,1,0,-0.2628107638888189,-0.1768476700945268,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
1,0,0,0,-1.2419671042985652,1,1,-0.36591431543816594,-0.9627399851906187,1,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,0,0.5107585797653155,0,0,-0.7500581929849266,-0.19835509444175473,0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
0,0,0,0,-1.2419671042985652,1,1,0.19450337604780069,-0.9435487450038614,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,-0.9974007297780236,1,1,1.1573575106779928,-0.6484668829598942,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,0,1,-0.4267458558967602,1,1,0.8064728433084405,-0.15042111176839437,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
0,0,0,0,-0.9158786049378431,0,0,-1.1674612807088958,-0.8772617602208665,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,1,0,-0.1821794813762187,1,1,1.3286424430906172,0.33339667100878545,1,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
1,0,0,1,1.2036966409068497,1,0,-0.28941813203058603,0.5283532006301191,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
1,0,1,1,-0.7935954176775724,1,1,-0.4956252351292798,-0.7512834007880269,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,0,-0.6713122304173017,1,0,-1.5266607506227494,-0.8662764296312057,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,1,0,1.0406523912264887,1,0,1.1806389578020384,1.4959225894941797,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False
1,0,0,0,0.6738028294456765,1,1,1.2920573118956877,1.2114510567948449,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
1,0,0,0,-0.3044626686364894,1,1,1.3519238902146633,0.17457261429079454,0,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
0,0,1,1,1.4890240778474815,1,0,1.6096827690880309,2.47271259720659,0,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,0,0,0.7960860167059473,1,0,-1.4701200933214948,-0.5591504099527906,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,0,0,1,1.570546202687662,1,0,1.391834942427314,2.246432434176986,0,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False
0,0,1,1,-0.9158786049378431,1,0,-0.32101438169893415,-0.7773570167658971,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
0,0,0,0,-0.46750691831685043,1,1,0.8380690929767889,-0.18858300317424495,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
1,1,0,0,-1.2827281667186554,0,1,-0.8381950999545296,-0.9929606737605696,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
1,0,1,0,-0.8343564800976626,1,0,-1.4983904219721222,-0.9212251414762772,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
1,0,0,0,-1.2827281667186554,1,0,-1.4867496984100992,-1.0015636434994608,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,1,0,1.0406523912264887,1,1,-0.1646960938660534,0.5359194022209901,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False
1,0,1,1,0.6738028294456765,1,0,-0.17467385691921591,0.2999774424077082,0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
0,0,0,0,-0.1006573565360382,1,1,-0.3176884606812135,-0.3351864310836572,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
